,age,area,total_number,segment0_number,segment1_number,segment2_number,segment3_number,inter,region,type,isolation,prob0,prob1,prob2,prob3
293,105,304,53,20,10,11,12,31920.0,ALL,ALL,ALL,0.37735849056603776,0.18867924528301888,0.20754716981132076,0.22641509433962265
294,110,304,49,17,12,10,10,33440.0,ALL,ALL,ALL,0.3469387755102041,0.24489795918367346,0.20408163265306123,0.20408163265306123
295,115,304,45,17,13,7,8,34960.0,ALL,ALL,ALL,0.37777777777777777,0.28888888888888886,0.15555555555555556,0.17777777777777778
296,120,304,43,11,14,7,11,36480.0,ALL,ALL,ALL,0.2558139534883721,0.32558139534883723,0.16279069767441862,0.2558139534883721
297,125,304,46,14,13,7,12,38000.0,ALL,ALL,ALL,0.30434782608695654,0.2826086956521739,0.15217391304347827,0.2608695652173913
298,130,304,45,13,13,7,12,39520.0,ALL,ALL,ALL,0.28888888888888886,0.28888888888888886,0.15555555555555556,0.26666666666666666
299,135,304,42,9,12,6,15,41040.0,ALL,ALL,ALL,0.21428571428571427,0.2857142857142857,0.14285714285714285,0.35714285714285715
300,15,328,262,38,131,62,31,4920.0,ALL,ALL,ALL,0.1450381679389313,0.5,0.2366412213740458,0.1183206106870229
301,20,328,319,59,145,75,40,6560.0,ALL,ALL,ALL,0.18495297805642633,0.45454545454545453,0.23510971786833856,0.12539184952978055
302,25,328,368,84,156,78,50,8200.0,ALL,ALL,ALL,0.22826086956521738,0.42391304347826086,0.21195652173913043,0.1358695652173913
303,30,328,403,108,152,84,59,9840.0,ALL,ALL,ALL,0.2679900744416873,0.3771712158808933,0.20843672456575682,0.14640198511166252
304,35,328,403,111,139,86,67,11480.0,ALL,ALL,ALL,0.27543424317617865,0.34491315136476425,0.21339950372208435,0.1662531017369727
305,40,328,378,107,120,80,71,13120.0,ALL,ALL,ALL,0.2830687830687831,0.31746031746031744,0.21164021164021163,0.18783068783068782
306,45,328,339,104,106,64,65,14760.0,ALL,ALL,ALL,0.30678466076696165,0.31268436578171094,0.1887905604719764,0.19174041297935104
307,50,328,285,92,81,49,63,16400.0,ALL,ALL,ALL,0.32280701754385965,0.28421052631578947,0.17192982456140352,0.22105263157894736
308,55,328,212,71,56,37,48,18040.0,ALL,ALL,ALL,0.33490566037735847,0.2641509433962264,0.17452830188679244,0.22641509433962265
309,60,328,150,43,44,25,38,19680.0,ALL,ALL,ALL,0.2866666666666667,0.29333333333333333,0.16666666666666666,0.25333333333333335
310,65,328,108,30,37,17,24,21320.0,ALL,ALL,ALL,0.2777777777777778,0.3425925925925926,0.1574074074074074,0.2222222222222222
311,70,328,77,24,28,9,16,22960.0,ALL,ALL,ALL,0.3116883116883117,0.36363636363636365,0.11688311688311688,0.2077922077922078
312,75,328,63,21,21,7,14,24600.0,ALL,ALL,ALL,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.2222222222222222
313,80,328,49,15,16,6,12,26240.0,ALL,ALL,ALL,0.30612244897959184,0.32653061224489793,0.12244897959183673,0.24489795918367346
314,85,328,46,9,12,8,17,27880.0,ALL,ALL,ALL,0.1956521739130435,0.2608695652173913,0.17391304347826086,0.3695652173913043
315,90,328,48,12,12,7,17,29520.0,ALL,ALL,ALL,0.25,0.25,0.14583333333333334,0.3541666666666667
316,95,328,51,13,14,7,17,31160.0,ALL,ALL,ALL,0.2549019607843137,0.27450980392156865,0.13725490196078433,0.3333333333333333
317,100,328,51,16,11,8,16,32800.0,ALL,ALL,ALL,0.3137254901960784,0.21568627450980393,0.1568627450980392,0.3137254901960784
318,105,328,55,17,10,12,16,34440.0,ALL,ALL,ALL,0.3090909090909091,0.18181818181818182,0.21818181818181817,0.2909090909090909
319,110,328,55,16,13,12,14,36080.0,ALL,ALL,ALL,0.2909090909090909,0.23636363636363636,0.21818181818181817,0.2545454545454545
320,115,328,50,16,13,10,11,37720.0,ALL,ALL,ALL,0.32,0.26,0.2,0.22
321,120,328,49,14,14,9,12,39360.0,ALL,ALL,ALL,0.2857142857142857,0.2857142857142857,0.1836734693877551,0.24489795918367346
322,125,328,48,14,12,9,13,41000.0,ALL,ALL,ALL,0.2916666666666667,0.25,0.1875,0.2708333333333333
323,130,328,49,12,14,9,14,42640.0,ALL,ALL,ALL,0.24489795918367346,0.2857142857142857,0.1836734693877551,0.2857142857142857
324,135,328,43,9,13,5,16,44280.0,ALL,ALL,ALL,0.20930232558139536,0.3023255813953488,0.11627906976744186,0.37209302325581395
325,15,352,285,44,135,65,41,5280.0,ALL,ALL,ALL,0.1543859649122807,0.47368421052631576,0.22807017543859648,0.14385964912280702
326,20,352,348,69,151,77,51,7040.0,ALL,ALL,ALL,0.19827586206896552,0.4339080459770115,0.22126436781609196,0.14655172413793102
327,25,352,393,93,155,85,60,8800.0,ALL,ALL,ALL,0.2366412213740458,0.3944020356234097,0.21628498727735368,0.15267175572519084
328,30,352,421,115,146,93,67,10560.0,ALL,ALL,ALL,0.27315914489311166,0.34679334916864607,0.2209026128266033,0.15914489311163896
329,35,352,408,120,128,92,68,12320.0,ALL,ALL,ALL,0.29411764705882354,0.3137254901960784,0.22549019607843138,0.16666666666666666
330,40,352,382,120,109,86,67,14080.0,ALL,ALL,ALL,0.31413612565445026,0.28534031413612565,0.225130890052356,0.17539267015706805
331,45,352,339,119,94,66,60,15840.0,ALL,ALL,ALL,0.35103244837758113,0.27728613569321536,0.19469026548672566,0.17699115044247787
332,50,352,278,102,71,51,54,17600.0,ALL,ALL,ALL,0.3669064748201439,0.25539568345323743,0.18345323741007194,0.19424460431654678
333,55,352,208,80,49,38,41,19360.0,ALL,ALL,ALL,0.38461538461538464,0.23557692307692307,0.18269230769230768,0.1971153846153846
334,60,352,147,55,38,23,31,21120.0,ALL,ALL,ALL,0.3741496598639456,0.2585034013605442,0.1564625850340136,0.2108843537414966
335,65,352,113,42,33,16,22,22880.0,ALL,ALL,ALL,0.37168141592920356,0.2920353982300885,0.1415929203539823,0.19469026548672566
336,70,352,86,28,28,11,19,24640.0,ALL,ALL,ALL,0.32558139534883723,0.32558139534883723,0.12790697674418605,0.22093023255813954
337,75,352,75,24,24,9,18,26400.0,ALL,ALL,ALL,0.32,0.32,0.12,0.24
338,80,352,62,17,21,9,15,28160.0,ALL,ALL,ALL,0.27419354838709675,0.3387096774193548,0.14516129032258066,0.24193548387096775
339,85,352,64,16,20,10,18,29920.0,ALL,ALL,ALL,0.25,0.3125,0.15625,0.28125
340,90,352,63,18,19,9,17,31680.0,ALL,ALL,ALL,0.2857142857142857,0.30158730158730157,0.14285714285714285,0.2698412698412698
341,95,352,65,17,22,9,17,33440.0,ALL,ALL,ALL,0.26153846153846155,0.3384615384615385,0.13846153846153847,0.26153846153846155
342,100,352,63,19,19,9,16,35200.0,ALL,ALL,ALL,0.30158730158730157,0.30158730158730157,0.14285714285714285,0.25396825396825395
343,105,352,60,18,18,12,12,36960.0,ALL,ALL,ALL,0.3,0.3,0.2,0.2
344,110,352,59,18,17,12,12,38720.0,ALL,ALL,ALL,0.3050847457627119,0.288135593220339,0.2033898305084746,0.2033898305084746
345,115,352,55,17,16,10,12,40480.0,ALL,ALL,ALL,0.3090909090909091,0.2909090909090909,0.18181818181818182,0.21818181818181817
346,120,352,54,15,17,10,12,42240.0,ALL,ALL,ALL,0.2777777777777778,0.3148148148148148,0.18518518518518517,0.2222222222222222
347,125,352,48,13,14,9,12,44000.0,ALL,ALL,ALL,0.2708333333333333,0.2916666666666667,0.1875,0.25
348,130,352,48,12,14,9,13,45760.0,ALL,ALL,ALL,0.25,0.2916666666666667,0.1875,0.2708333333333333
349,135,352,45,11,13,6,15,47520.0,ALL,ALL,ALL,0.24444444444444444,0.28888888888888886,0.13333333333333333,0.3333333333333333
