,age,area,total_number,segment0_number,segment1_number,segment2_number,segment3_number,inter,region,type,isolation,prob0,prob1,prob2,prob3
259,60,280,145,40,49,23,33,16800.0,ALL,ALL,ALL,0.27586206896551724,0.33793103448275863,0.15862068965517243,0.22758620689655173
260,65,280,109,28,38,20,23,18200.0,ALL,ALL,ALL,0.25688073394495414,0.3486238532110092,0.1834862385321101,0.21100917431192662
261,70,280,76,22,24,12,18,19600.0,ALL,ALL,ALL,0.2894736842105263,0.3157894736842105,0.15789473684210525,0.23684210526315788
262,75,280,66,20,20,10,16,21000.0,ALL,ALL,ALL,0.30303030303030304,0.30303030303030304,0.15151515151515152,0.24242424242424243
263,80,280,56,16,17,8,15,22400.0,ALL,ALL,ALL,0.2857142857142857,0.30357142857142855,0.14285714285714285,0.26785714285714285
264,85,280,53,12,15,10,16,23800.0,ALL,ALL,ALL,0.22641509433962265,0.2830188679245283,0.18867924528301888,0.3018867924528302
265,90,280,54,15,13,11,15,25200.0,ALL,ALL,ALL,0.2777777777777778,0.24074074074074073,0.2037037037037037,0.2777777777777778
266,95,280,53,17,12,10,14,26600.0,ALL,ALL,ALL,0.32075471698113206,0.22641509433962265,0.18867924528301888,0.2641509433962264
267,100,280,58,20,13,12,13,28000.0,ALL,ALL,ALL,0.3448275862068966,0.22413793103448276,0.20689655172413793,0.22413793103448276
268,105,280,55,19,10,15,11,29400.0,ALL,ALL,ALL,0.34545454545454546,0.18181818181818182,0.2727272727272727,0.2
269,110,280,49,17,10,13,9,30800.0,ALL,ALL,ALL,0.3469387755102041,0.20408163265306123,0.2653061224489796,0.1836734693877551
270,115,280,44,16,11,10,7,32200.0,ALL,ALL,ALL,0.36363636363636365,0.25,0.22727272727272727,0.1590909090909091
271,120,280,39,12,11,7,9,33600.0,ALL,ALL,ALL,0.3076923076923077,0.28205128205128205,0.1794871794871795,0.23076923076923078
272,125,280,39,12,11,7,9,35000.0,ALL,ALL,ALL,0.3076923076923077,0.28205128205128205,0.1794871794871795,0.23076923076923078
273,130,280,32,11,9,5,7,36400.0,ALL,ALL,ALL,0.34375,0.28125,0.15625,0.21875
274,135,280,29,7,9,4,9,37800.0,ALL,ALL,ALL,0.2413793103448276,0.3103448275862069,0.13793103448275862,0.3103448275862069
275,15,304,259,38,134,57,30,4560.0,ALL,ALL,ALL,0.14671814671814673,0.5173745173745173,0.22007722007722008,0.11583011583011583
276,20,304,303,57,143,69,34,6080.0,ALL,ALL,ALL,0.18811881188118812,0.47194719471947194,0.22772277227722773,0.11221122112211221
277,25,304,347,75,153,74,45,7600.0,ALL,ALL,ALL,0.21613832853025935,0.4409221902017291,0.2132564841498559,0.12968299711815562
