,segment,abitazione,isolamento,age,area,regione,longitude,latitude,ripartizione,temperatura_estiva,umidita_estiva,temperatura_invernale,degree_days,riscaldament_fascia_A,riscaldament_fascia_B,riscaldament_fascia_C,riscaldament,raffrescament_fascia_A,elettricita,raffrescament_fascia_B,raffrescament_fascia_C,raffrescament
3035,2,casa plurifamiliare,Ben isolata,9,97,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,0,6,2,8,0,289,0,0,0
3036,2,casa unifamiliare,Ben isolata,50,138,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,2,4,0,6,0,789,0,4,4
3037,3,appartamento in edificio medio,Ben isolata,40,115,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,2,4,0,6,0,789,0,0,0
3038,0,casa unifamiliare,Abbastanza isolata,38,305,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,2,1,2,5,0,689,0,0,0
3039,2,appartamento in edificio piccolo,Abbastanza isolata,43,105,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,2,3,0,5,0,689,0,0,0
3040,0,casa plurifamiliare,Poco isolata,62,114,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,8,8,2,18,0,389,0,0,0
3041,0,casa plurifamiliare,Poco isolata,133,68,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,4,8,0,12,0,389,0,0,0
3042,1,casa plurifamiliare,Ben isolata,21,121,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,2,5,0,7,0,1089,0,0,0
3043,2,casa unifamiliare,Abbastanza isolata,51,67,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,0,0,0,0,0,589,0,0,0
3044,2,casa plurifamiliare,Non isolata,51,97,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,0,8,0,8,0,689,0,0,0
3045,2,casa unifamiliare,Abbastanza isolata,61,320,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,3,4,0,7,0,789,0,0,0
3046,0,casa plurifamiliare,Abbastanza isolata,43,119,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,2,5,0,7,0,289,0,0,0
3047,0,appartamento in edificio piccolo,Abbastanza isolata,38,69,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,5,8,0,13,0,589,0,0,0
3048,2,appartamento in edificio medio,Abbastanza isolata,32,88,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,2,2,2,6,0,389,0,0,0
3049,0,casa plurifamiliare,Abbastanza isolata,52,101,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,5,6,0,11,0,489,0,0,0
