,segment,abitazione,isolamento,age,area,regione,longitude,latitude,ripartizione,temperatura_estiva,umidita_estiva,temperatura_invernale,degree_days,riscaldament_fascia_A,riscaldament_fascia_B,riscaldament_fascia_C,riscaldament,raffrescament_fascia_A,elettricita,raffrescament_fascia_B,raffrescament_fascia_C,raffrescament,ripart_t,segment_i,seg_cas,isolamento_intercept,seg_rip,ripart_intercept,locationAbition,new_group_e,new_group_r
8217,1,casa unifamiliare,Abbastanza isolata,66,137,Umbria,12.38,43.11,Centrale,30.5,40,-2,2289,8,8,3,19,0,2912.9026000000003,0,0,0,non_nord_est,secondo,SC5,isI0,SR0,Centr,Centrale-casa unifamiliare-1,HSDR_group52,Zero
8218,0,casa unifamiliare,Ben isolata,74,110,Umbria,12.38,43.11,Centrale,30.5,40,-2,2289,6,6,0,12,0,2262.5032,0,0,0,non_nord_est,primo,SC0,isI0,SR0,Centr,Centrale-casa unifamiliare-0,HSDR_group64,Zero
8219,2,casa plurifamiliare,Abbastanza isolata,59,372,Umbria,12.38,43.11,Centrale,30.5,40,-2,2289,1,1,1,3,3,3028.2594,4,2,9,non_nord_est,primo,SC0,isI0,SR0,Centr,Centrale-casa plurifamiliare-2,HSDR_group64,Zero
8220,1,appartamento in edificio medio,Ben isolata,40,146,Umbria,12.38,43.11,Centrale,30.5,40,-2,2289,1,1,1,3,0,4836.0026,3,0,3,non_nord_est,secondo,SC0,isI0,SR0,Centr,Centrale-appartamento in edificio medio-1,HSDR_group64,Zero
8221,1,casa plurifamiliare,Abbastanza isolata,62,130,Umbria,12.38,43.11,Centrale,30.5,40,-2,2289,0,5,0,5,0,2254.7384,0,0,0,non_nord_est,secondo,SC0,isI0,SR0,Centr,Centrale-casa plurifamiliare-1,HSDR_group52,Zero
8222,0,appartamento in edificio piccolo,Ben isolata,63,126,Umbria,12.38,43.11,Centrale,30.5,40,-2,2289,2,2,2,6,0,1264.8442,0,0,0,non_nord_est,primo,SC3,isI0,SR0,Centr,Centrale-appartamento in edificio piccolo-0,HSDR_group63,Zero
8223,1,casa unifamiliare,Abbastanza isolata,13,135,Umbria,12.38,43.11,Centrale,30.5,40,-2,2289,3,8,1,12,0,2103.0736,0,0,0,non_nord_est,secondo,SC5,isI0,SR0,Centr,Centrale-casa unifamiliare-1,HSDR_group52,Zero
8224,0,appartamento in edificio piccolo,Ben isolata,63,113,Umbria,12.38,43.11,Centrale,30.5,40,-2,2289,4,8,1,13,0,1757.9793999999995,0,0,0,non_nord_est,primo,SC3,isI0,SR0,Centr,Centrale-appartamento in edificio piccolo-0,HSDR_group63,Zero
8225,2,casa unifamiliare,Ben isolata,32,108,Umbria,12.38,43.11,Centrale,30.5,40,-2,2289,5,8,3,16,0,2716.9367,0,0,0,non_nord_est,primo,SC0,isI0,SR0,Centr,Centrale-casa unifamiliare-2,HSDR_group64,Zero
8226,1,casa plurifamiliare,Ben isolata,26,93,Umbria,12.38,43.11,Centrale,30.5,40,-2,2289,3,3,0,6,0,1462.86,0,0,0,non_nord_est,secondo,SC0,isI0,SR0,Centr,Centrale-casa plurifamiliare-1,HSDR_group52,Zero
