,segment,abitazione,isolamento,age,area,regione,longitude,latitude,ripartizione,temperatura_estiva,umidita_estiva,temperatura_invernale,degree_days,riscaldament_fascia_A,riscaldament_fascia_B,riscaldament_fascia_C,riscaldament,raffrescament_fascia_A,elettricita,raffrescament_fascia_B,raffrescament_fascia_C,raffrescament,ripart_t,segment_i,seg_cas,isolamento_intercept,seg_rip,ripart_intercept,locationAbition,new_group_e,new_group_r
8156,0,appartamento in edificio piccolo,Abbastanza isolata,59,99,Umbria,12.38,43.11,Centrale,30.5,40,-2,2289,0,4,0,4,0,2136.5384,0,0,0,non_nord_est,primo,SC3,isI0,SR0,Centr,Centrale-appartamento in edificio piccolo-0,HSDR_group63,Zero
8157,1,casa unifamiliare,Non isolata,23,99,Umbria,12.38,43.11,Centrale,30.5,40,-2,2289,7,8,0,15,0,9069.2834,0,0,0,non_nord_est,secondo,SC5,isI1,SR0,Centr,Centrale-casa unifamiliare-1,HSDR_group52,Zero
8158,0,casa unifamiliare,Abbastanza isolata,20,104,Umbria,12.38,43.11,Centrale,30.5,40,-2,2289,2,0,1,3,0,1638.62,0,0,0,non_nord_est,primo,SC0,isI0,SR0,Centr,Centrale-casa unifamiliare-0,HSDR_group64,Zero
8159,0,appartamento in edificio piccolo,Poco isolata,50,117,Umbria,12.38,43.11,Centrale,30.5,40,-2,2289,3,7,0,10,0,2101.3584,0,0,0,non_nord_est,primo,SC3,isI1,SR0,Centr,Centrale-appartamento in edificio piccolo-0,HSDR_group63,Zero
8160,0,casa unifamiliare,Non isolata,60,82,Umbria,12.38,43.11,Centrale,30.5,40,-2,2289,4,5,0,9,0,1692.3211,0,0,0,non_nord_est,primo,SC0,isI1,SR0,Centr,Centrale-casa unifamiliare-0,HSDR_group64,Zero
8161,1,casa unifamiliare,Abbastanza isolata,47,63,Umbria,12.38,43.11,Centrale,30.5,40,-2,2289,3,3,1,7,0,1361.256,0,0,0,non_nord_est,secondo,SC5,isI0,SR0,Centr,Centrale-casa unifamiliare-1,HSDR_group52,Zero
8162,1,casa plurifamiliare,Abbastanza isolata,28,109,Umbria,12.38,43.11,Centrale,30.5,40,-2,2289,1,5,0,6,0,3411.58,0,0,0,non_nord_est,secondo,SC0,isI0,SR0,Centr,Centrale-casa plurifamiliare-1,HSDR_group52,Zero
8163,1,appartamento in edificio piccolo,Abbastanza isolata,56,254,Umbria,12.38,43.11,Centrale,30.5,40,-2,2289,2,6,1,9,0,3117.5304,0,0,0,non_nord_est,secondo,SC0,isI0,SR0,Centr,Centrale-appartamento in edificio piccolo-1,HSDR_group52,Zero
8164,0,casa unifamiliare,Poco isolata,57,111,Umbria,12.38,43.11,Centrale,30.5,40,-2,2289,0,0,0,0,0,130.0,0,0,0,non_nord_est,primo,SC0,isI1,SR0,Centr,Centrale-casa unifamiliare-0,HSDR_group64,Zero
8165,1,casa plurifamiliare,Abbastanza isolata,22,316,Umbria,12.38,43.11,Centrale,30.5,40,-2,2289,0,6,0,6,0,2906.828,0,0,0,non_nord_est,secondo,SC0,isI0,SR0,Centr,Centrale-casa plurifamiliare-1,HSDR_group52,Zero
